segment_id,mslink,VAL_MAE_baseline,VAL_MAE_ensemble,VAL_RMSE_ensemble,VAL_R2_ensemble,VAL_Coverage,TEST_MAE_baseline,TEST_MAE_ensemble,TEST_RMSE_ensemble,TEST_R2_ensemble,TEST_Coverage,90d_forecast_total_lambda,VAL_MAE_improvement,TEST_MAE_improvement
MSLINK_262,262,0.03888888888888888,0.00011496975194911925,0.0002318959001502493,0.0,100.0,0.11111111111111112,0.0026134167883684434,0.010022282769666543,0.9983856868442207,100.0,2.3931999999999998,0.03877391913693976,0.10849769432274267
MSLINK_263,263,0.538888888888889,0.0012462243798805528,0.005419334035869925,0.999899877790708,100.0,0.7222222222222222,0.0020272614866141503,0.010785881157538637,0.9997728813251407,100.0,20.250400000000003,0.5376426645090084,0.7201949607356081
MSLINK_264,264,0.22777777777777777,0.0025087757629603485,0.013804691384223106,0.9987200555687143,100.0,0.3444444444444444,0.0012045871538244853,0.0022507841714409682,0.999983774283104,100.0,3.9664999999999995,0.22526900201481742,0.3432398572906199
MSLINK_265,265,0.24444444444444444,0.0003866239804111536,0.0011760277572386733,0.9999818947322586,100.0,0.31111111111111106,0.0004387229008548932,0.0015163193868131131,0.9999873823046674,100.0,7.2353,0.2440578204640333,0.31067238821025617
MSLINK_266,266,0.2722222222222222,0.001276184278347421,0.001412902895973714,0.9999679166940338,100.0,0.36666666666666664,0.0009747647664990372,0.0021684279041865287,0.9999593089267491,100.0,15.958999999999998,0.2709460379438748,0.3656919019001676
MSLINK_267,267,0.26666666666666666,0.0003654440233125744,0.0011037202149394912,0.999991818071033,100.0,0.27777777777777773,0.0006423031177869026,0.0020106500525409157,0.9999708924618368,100.0,11.8918,0.2663012226433541,0.27713547465999083
MSLINK_270,270,0.6777777777777778,0.0009223416703886493,0.0015509648662005815,0.9999975674799836,100.0,0.5222222222222223,0.026088228386528398,0.1422174713134507,0.9686691424576369,100.0,20.7363,0.6768554361073892,0.49613399383569384
MSLINK_272,272,0.05,0.0001445325486616622,0.0004449286837241953,0.9999879209911702,100.0,0.1111111111111111,0.00027090834314781684,0.0008264231696048941,0.9999788042162161,100.0,2.4591,0.04985546745133834,0.11084020276796329
MSLINK_273,273,0.08888888888888886,0.00070733194376732,0.002906856925124222,0.9994844179345879,100.0,0.1,0.0007592407529791292,0.0029826536644459224,0.9997239103243507,100.0,3.4852999999999996,0.08818155694512154,0.09924075924702087
MSLINK_274,274,0.02222222222222222,0.0008045309361678728,0.0008779544524081979,0.0,100.0,0.1,0.0005414876798001167,0.0018477980074199695,0.9999451263977035,100.0,6.0338,0.021417691286054346,0.0994585123201999
MSLINK_275,275,0.5277777777777778,0.0008271230356447706,0.0026954971216832948,0.9999884057903197,100.0,0.5555555555555555,0.002484399981155793,0.006215458763932649,0.9999332653841045,100.0,13.666899999999998,0.526950654742133,0.5530711555743997
MSLINK_276,276,0.03888888888888888,0.00017193408162304727,0.00039313641413754504,0.9999905694497553,100.0,0.05555555555555556,0.000496425212166149,0.0018336907455551224,0.999895648980162,100.0,1.4052999999999998,0.038716954807265835,0.05505913034338941
MSLINK_277,277,0.06111111111111111,0.00041222890563612387,0.0029783409504765606,0.9994587482484368,100.0,0.04444444444444444,0.0007994648187050779,0.0041660430547997875,0.9994613681634138,100.0,1.6286,0.06069888220547499,0.043644979625739364
MSLINK_278,278,0.19444444444444445,0.0007351748472728224,0.0031336812739705486,0.9998785159794619,100.0,0.36666666666666664,0.011905642484849408,0.03866218708156956,0.9960548731995975,100.0,6.804,0.19370926959717163,0.3547610241818172
MSLINK_279,279,0.1722222222222222,0.0007968595198340838,0.0009760306970766476,0.999979944506913,100.0,0.22222222222222224,0.0018228674951759525,0.0018409224895387741,0.9998948242740952,100.0,7.681,0.17142536270238812,0.22039935472704628
MSLINK_280,280,0.1,0.0003630088611074929,0.0011863366894353034,0.9999563222321851,100.0,0.06666666666666667,0.0005841971859247253,0.0017414499951154115,0.999905883335278,100.0,4.1044,0.09963699113889252,0.06608246948074194
MSLINK_281,281,0.1611111111111111,0.0004230133240686592,0.0008838255506953887,0.9999913205821771,100.0,0.16666666666666666,0.0006508623137384917,0.0015320903550083901,0.9999739188793788,100.0,5.6568000000000005,0.16068809778704243,0.16601580435292818
